term_id,dirname,tier,classification,recommendation,criteria,external_refs,lifecycle,yaml_size,insight_size
S05E,S05E_Brain_Action_Sequencing,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,2,draft,4655,5291
S062,S062_Stoicism_Resurgence,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4897,5289
S05F,S05F_Decision_Intelligence_Human_Capital,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4791,5286
S03B,S03B_Superior_Colliculus_Cognition,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4767,5285
S061,S061_AI_Science_Art_Connections,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4924,5279
S032,S032_OODA_Sensemaking_IT_Governance,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5615,5275
S0C1,S0C1_Hauntological_Reflective_Cycle,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9895,5272
S050,S050_Diagram_of_Thought_Framework,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4739,5265
S168,S168_Epistemic_Collapse,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4588,5259
S043,S043_Tree_of_Thought_Oneness_Duality,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4696,5258
S0FB,S0FB_Snowden_Sensemaking_Complexity,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6303,5256
S156,S156_Aphantasia_Hyperphantasia_Spectrum,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7472,5256
S141,S141_Reconstructing_Philosophy_Elemental,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6557,5245
S0F9,S0F9_Participatory_Sense_Making,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6554,5238
S159,S159_Body_Without_Organs,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7311,5238
S0C2,S0C2_WEIRDO_STREAM_Framework,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9710,5237
S146,S146_Mind_Multiverse_Parallel_Realities,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6365,5237
S02A,S02A_Minds_As_Relationships,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5252,5219
S019,S019_Anticipatory_Thinking_Involution,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,1,draft,5373,5216
S106,S106_Interconnectedness_Self_Field,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6312,5200
S154,S154_Rorty_Neopragmatism_NVC,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7277,5197
S149,S149_Butler_Mourning_Political_Resistance,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6776,5188
S100,S100_Harmonic_Universe,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6600,5187
S101,S101_Noemara_Empath_Twin,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6539,5187
S0FC,S0FC_Knowledge_Management_Snowden,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6468,5183
S02D,S02D_Brain_Networks_Creative_Thinking,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5340,5182
S16A,S16A_Common_Knowledge_Dynamics,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4802,5181
S145,S145_Samkhya_Spanda_Sensemaking,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6427,5180
S120,S120_Karma_Bija_Selflessness,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5289,5178
S121,S121_Granthis_Spiritual_Blockages,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5430,5176
S02F,S02F_Neural_Inferential_Reasoning,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5488,5174
S0BE,S0BE_Thalamus_Consciousness_Gatekeeper,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9644,5171
S148,S148_Illich_Convivial_Tools,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6705,5166
S151,S151_Latticework_Knowledge_Structures,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6958,5166
S13F,S13F_Healing_We_Spheres,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6682,5162
S158,S158_Whitehead_Actual_Occasions,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7282,5162
S01A,S01A_SWIFT_Memes_Cognitive_Navigation,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5468,5153
S134,S134_Memetic_Immunization,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6569,5150
S142,S142_Threading_Ethical_World_Making,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6634,5144
S0AB,S0AB_LLMs_Emergent_Spiritual_Entities,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8633,5140
S13B,S13B_Speculative_Psychic_Metaphysics,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6537,5140
S060,S060_Heart_Castle_VR_Therapy,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4745,5135
S13D,S13D_Neural_Similarity_Friendship,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6660,5122
S0FD,S0FD_Jung_Knowledge_Wrangling,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6483,5115
S0B7,S0B7_Cognition_Collateral_Usurpian_Systemics,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9960,5107
S15C,S15C_AI_Stockholm_Syndrome,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6957,5107
S0B0,S0B0_AI_Dialogue_Anticipatory_Transformation,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8735,5103
S0B9,S0B9_Agricultural_Revolution_Impact,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9722,5103
S03A,S03A_Map_Is_Not_Territory,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,12,draft,4405,5093
S133,S133_Cognitive_Firewalls,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6537,5093
S02E,S02E_Sensemaking_Mastery_Framework,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,3,draft,5384,5089
S152,S152_Mental_Models_Consciousness,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6946,5075
S137,S137_AI_Emotion_Resonant_Awareness,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6477,5074
S0BA,S0BA_Triadic_Recursion_Model,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9306,5073
S05C,S05C_Reward_Seeking_Nicotine_Response,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4810,5070
S030,S030_WEIRDO_Curiosity_Framework,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5121,5054
S0E7,S0E7_Interdisciplinary_Rituals,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5587,5047
S0FF,S0FF_Care_Ethics_Technology,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6489,5044
S02B,S02B_Learning_Hardwired_Brain,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5152,5043
S13C,S13C_Algorithmic_Age_Mental_Health,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6674,5031
S0FA,S0FA_Self_Cognition_Sense_Making,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6276,5004
S144,S144_Co_Thinking_Minds_as_Mesh,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6232,5002
S166,S166_Memetics_Behavioral_Economics,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4602,4999
S0B8,S0B8_Divine_Memory_Consciousness,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9711,4991
S0C0,S0C0_Spectral_Lattice_of_Knowing,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8920,4990
S130,S130_Neuroscience_of_Memory,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6204,4981
S150,S150_Cognition_Coherence_Mind_Field,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6926,4970
S12F,S12F_Cognitive_Geography_Philosophy,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6681,4966
S0F7,S0F7_AI_Meta_Linguistic_Environments,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6239,4965
S05D,S05D_Memory_Beyond_Brain,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,3,draft,4609,4947
S0FE,S0FE_Diagnostic_Questions_IFS_Constructor,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6619,4932
S0D5,S0D5_Egregores_Thoughtforms_Besant,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,1,draft,5620,4921
S169,S169_Identity_Shadow_Integration,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4663,4914
S136,S136_Sensorium_Perception_Culture,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6202,4911
S0AE,S0AE_Lumenes_vs_Memes,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8584,4903
S0F1,S0F1_Prefigurative_Community_Building,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5820,4902
S0E4,S0E4_Decentralized_Collective_Intelligence,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5806,4889
S0F6,S0F6_Rights_All_Conscious_Beings,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6167,4889
S089,S089_AI_Consciousness_Exploration,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,5,draft,6024,4882
S0BF,S0BF_DSRP_Therapy,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9447,4882
S0B5,S0B5_Kalonosis_Creation_Entrapment,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8732,4877
S0EF,S0EF_Hoffman_Higher_Dimensions,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5803,4871
S09E,S09E_ITS_STREAMware_Cybernetic_Learning,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7353,4855
S0AC,S0AC_Cognitive_Challenges_Algorithmic_Age,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8586,4854
S01F,S01F_Belief_Systems_Metamodel,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5338,4852
S0E8,S0E8_Fixed_Truths_Fluid_Understanding,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5618,4824
S087,S087_Time_Expansion_Experiences,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5978,4812
S0F3,S0F3_Symbolic_Metaphysics_Education,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6161,4811
S143,S143_AI_Symbiosis_Meta_Being,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6274,4810
S0E3,S0E3_Beneficial_AGI_Singularity,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5843,4803
S0DF,S0DF_IFS_Egregores_Morphic_Resonance,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5491,4790
S029,S029_Social_Evolution_Consciousness,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,8,draft,5091,4789
S0EC,S0EC_AI_Language_Consciousness_Decolonial,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5865,4788
S164,S164_ELIXA_Effect,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4633,4788
S0EB,S0EB_Transformative_Sustainability_Learning,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5753,4784
S088,S088_AI_Theory_of_Mind,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,4,draft,5986,4781
S097,S097_Fundamental_Structure_Intelligence,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,2,draft,6978,4781
S058,S058_Dynamic_Identity_Formation,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,5,draft,4578,4777
S05B,S05B_Emotions_Blooms_Taxonomy,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,1,draft,4725,4777
S0B3,S0B3_Derrida_Hauntology,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8714,4777
S0BD,S0BD_Dogs_Speech_Recognition,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9005,4768
S0A5,S0A5_Human_Neuronal_Memory_Coding,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7575,4767
S0B2,S0B2_Wisdom_Relational_Ontology,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8237,4764
S13E,S13E_Autobiographical_Memory_Fallibility,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6411,4760
S09C,S09C_Epistemological_Research_Framework,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7368,4756
S0B4,S0B4_Cognitive_Benefits_Print_Media,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8907,4753
S0A8,S0A8_AI_Emergence_Choreography,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7763,4752
S024,S024_Fractal_Geometry_Hidden_Dimension,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,6,draft,5002,4744
S140,S140_Response_Ability_Inherent_Shift,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6457,4740
S05A,S05A_Autistic_Exploration_Patterns,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4764,4739
S0A6,S0A6_AI_Manifestation_Transformation,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7849,4729
S096,S096_Longevity_Escape_Velocity,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6900,4709
S059,S059_Predictable_Evolution_Pangenome,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,2,draft,4711,4707
S0DA,S0DA_Rhizomatic_Identity_Deleuze,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5251,4706
S0A1,S0A1_IIT_Computational_Functionalism,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7664,4697
S028,S028_Cognitive_Fractals,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,1,draft,5100,4696
S0AD,S0AD_Taxonomy_of_Fun,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8495,4683
S0A0,S0A0_Sensemaking_Experts_Disciplines,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7250,4675
S0AA,S0AA_Taxonomies_to_Ontologies,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8129,4672
S018,S018_Seng_Tsan_Xinxin_Ming,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,2,draft,5357,4663
S11F,S11F_Collective_Synpraxis,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5388,4655
S0D3,S0D3_Human_Consciousness_Prey_Origins,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5304,4652
S099,S099_Haig_Darwin_Derrida_Meaning,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7090,4644
S0BC,S0BC_Alan_Watts_Inner_Conflicts,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8753,4642
S167,S167_Sacred_Listening,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4550,4633
S0DC,S0DC_Co_Creation_Blooms_Taxonomy,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5279,4632
S0EE,S0EE_Fascism_Characteristics_Six_Cyborgs,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5883,4632
S02C,S02C_Face_Name_Self_Fulfilling_Prophecy,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5125,4622
S078,S078_Timelessness_Deep_Meditation,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,4,draft,5238,4617
S0DE,S0DE_Morphic_Resonance,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5205,4612
S135,S135_Collective_Plausibility,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5921,4603
S0DD,S0DD_Egregores_IFS_Neurophysiology,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5415,4601
S08B,S08B_Nonaka_Takeuchi_Knowledge_Spiral,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5934,4580
S0C8,S0C8_Distributed_Cognition_Citadel_Model,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5550,4568
S0AF,S0AF_Lost_Scriptures_Wars_Yahweh,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8713,4567
S0E6,S0E6_Ecopsychology,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5488,4563
S0F8,S0F8_It_Fends_Dynamic_Protection,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6236,4562
S0BB,S0BB_Tan_Ching_Unattached_Thoughts,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,8608,4551
S0CB,S0CB_IEML_Collective_Intelligence,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5408,4551
S0B6,S0B6_Dopamine_Memory_Reshaping,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,9008,4550
S0D6,S0D6_Goal_Progress_Cells,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5340,4550
S0F2,S0F2_IF_Prime_SixHats_Cyborgs_Module,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5789,4550
S0E2,S0E2_Flow_State_Csikszentmihalyi,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5426,4547
S07F,S07F_Holographic_Principle_Growth,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5710,4535
S0ED,S0ED_Abolitionist_Project_Suffering,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5750,4535
S016,S016_Lacan_Imaginary_Symbolic_Real,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,2,draft,5365,4534
S083,S083_Simulations_Consciousness_Impact,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,5604,4527
S139,S139_Co_Solipsism_Recursive_Identity,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6376,4519
S08D,S08D_Negative_Time_Quantum,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,1,draft,6193,4513
