old_dir,old_term_id,new_dir,new_term_id,target_prefix,dominant
C082_quantum_entanglement_brain_function,C082,A082_quantum_entanglement_brain_function,A082,A,air
C083_essential_questions_inquiry,C083,A083_essential_questions_inquiry,A083,A,air
C084_brain_memory_storage_mechanism,C084,W016_brain_memory_storage_mechanism,W016,W,water
C085_multiple_intelligences_theory,C085,A084_multiple_intelligences_theory,A084,A,air
C087_cognitive_biases_quirks,C087,W017_cognitive_biases_quirks,W017,W,water
C088_art_of_essential_questions,C088,A085_art_of_essential_questions,A085,A,air
C089_psilocybin_ego_dissolution,C089,W018_psilocybin_ego_dissolution,W018,W,water
C090_modular_intelligence,C090,A086_modular_intelligence,A086,A,air
C091_five_stages_ai_grief,C091,W019_five_stages_ai_grief,W019,W,water
C092_quantum_entanglement_consciousness,C092,A087_quantum_entanglement_consciousness,A087,A,air
C093_neuroscience_evolution_reductionism_dynamical,C093,A088_neuroscience_evolution_reductionism_dynamical,A088,A,air
C094_metaman_dilemma,C094,M019_metaman_dilemma,M019,M,metal
C095_ai_art_limits,C095,M01A_ai_art_limits,M01A,M,metal
C096_artificial_emotional_intelligence,C096,W01A_artificial_emotional_intelligence,W01A,W,water
C097_xenobots_living_robots,C097,B001_xenobots_living_robots,B001,B,wood
C098_ai_education_debate,C098,M01B_ai_education_debate,M01B,M,metal
C099_scarlet_sea_anemone_regeneration,C099,B002_scarlet_sea_anemone_regeneration,B002,B,wood
C100_ai_evolutionary_impact_cognition,C100,F00B_ai_evolutionary_impact_cognition,F00B,F,fire
C101_o1_model_illusion,C101,M01C_o1_model_illusion,M01C,M,metal
C102_analyzer_cyborg,C102,A089_analyzer_cyborg,A089,A,air
C103_llms_collective_intelligence,C103,W01B_llms_collective_intelligence,W01B,W,water
C104_hallucinations_in_llms,C104,F00C_hallucinations_in_llms,F00C,F,fire
C105_cabrera_critical_thinking_critique,C105,A08A_cabrera_critical_thinking_critique,A08A,A,air
C106_decision_traps,C106,F00D_decision_traps,F00D,F,fire
C107_skepticism_vs_bias_science,C107,A08B_skepticism_vs_bias_science,A08B,A,air
C108_posthumanism_boundaries,C108,F00E_posthumanism_boundaries,F00E,F,fire
C109_emotionally_aware_ai,C109,A08C_emotionally_aware_ai,A08C,A,air
C110_neoplatonism_hypatia_legacy,C110,A08D_neoplatonism_hypatia_legacy,A08D,A,air
C111_weapons_of_math_destruction,C111,A08E_weapons_of_math_destruction,A08E,A,air
C112_ai_impact_critical_thinking,C112,A08F_ai_impact_critical_thinking,A08F,A,air
C113_radical_theory_consciousness,C113,A090_radical_theory_consciousness,A090,A,air
C114_navigating_conscious_ai,C114,A091_navigating_conscious_ai,A091,A,air
C115_protecting_freedom_of_thought,C115,A092_protecting_freedom_of_thought,A092,A,air
C116_falsification_assumptions,C116,A093_falsification_assumptions,A093,A,air
C117_murphyjitsu,C117,A094_murphyjitsu,A094,A,air
C118_trust_truth_relationship,C118,A095_trust_truth_relationship,A095,A,air
C119_animal_consciousness_evolution,C119,W01C_animal_consciousness_evolution,W01C,W,water
C120_ai_manifest_destiny_bias,C120,E028_ai_manifest_destiny_bias,E028,E,earth
C121_cognitive_immobility,C121,E029_cognitive_immobility,E029,E,earth
C122_fluid_intelligence_misinformation,C122,A096_fluid_intelligence_misinformation,A096,A,air
C123_irrational_behavior_sway,C123,W01D_irrational_behavior_sway,W01D,W,water
C124_data_quality_tech_humanity,C124,A097_data_quality_tech_humanity,A097,A,air
C125_critique_action_gap,C125,A098_critique_action_gap,A098,A,air
C127_ai_writing_pitfalls,C127,A099_ai_writing_pitfalls,A099,A,air
C128_bias_labyrinth_ai,C128,A09A_bias_labyrinth_ai,A09A,A,air
C129_consciousness_and_ai,C129,F00F_consciousness_and_ai,F00F,F,fire
C130_ai_critical_thinking_decline,C130,F010_ai_critical_thinking_decline,F010,F,fire
C131_panpsychism,C131,A09B_panpsychism,A09B,A,air
C132_shadow_integration,C132,W01E_shadow_integration,W01E,W,water
C133_cognitive_sovereignty,C133,E02A_cognitive_sovereignty,E02A,E,earth
C134_consciousness_receiver,C134,A09C_consciousness_receiver,A09C,A,air
C135_social_capital_types,C135,W01F_social_capital_types,W01F,W,water
C13A_Neiye_Chinese_Cognition,C13A,A09D_Neiye_Chinese_Cognition,A09D,A,air
C13C_meditation_brain_stimulation,C13C,M01D_meditation_brain_stimulation,M01D,M,metal
C13D_MEbot_Consciousness_Perspectives,C13D,A09E_MEbot_Consciousness_Perspectives,A09E,A,air
C13E_AI_Personality_Assessment,C13E,A09F_AI_Personality_Assessment,A09F,A,air
C141_Consciousness_in_AI,C141,A0A0_Consciousness_in_AI,A0A0,A,air
C142_Human_Enhancement_Ethics,C142,A0A1_Human_Enhancement_Ethics,A0A1,A,air
C143_CTMU_Langan,C143,A0A2_CTMU_Langan,A0A2,A,air
C144_Rethinking_Success,C144,A0A3_Rethinking_Success,A0A3,A,air
C145_Critical_Theory_Memetic_Team,C145,W020_Critical_Theory_Memetic_Team,W020,W,water
C146_AI_Welfare_Ethics,C146,A0A4_AI_Welfare_Ethics,A0A4,A,air
C147_Technology_Environmental_Adaptation,C147,A0A5_Technology_Environmental_Adaptation,A0A5,A,air
C148_Free_Will_Determinism,C148,A0A6_Free_Will_Determinism,A0A6,A,air
C150_Individuality_Huxley_Dystopia,C150,A0A7_Individuality_Huxley_Dystopia,A0A7,A,air
C151_Huxley_Ends_and_Means,C151,A0A8_Huxley_Ends_and_Means,A0A8,A,air
C152_Huxley_Education_Ethics_Transformation,C152,A0A9_Huxley_Education_Ethics_Transformation,A0A9,A,air
C153_Kuhn_Consciousness_Taxonomy,C153,B003_Kuhn_Consciousness_Taxonomy,B003,B,wood
C154_Annaka_Harris_Consciousness,C154,A0AA_Annaka_Harris_Consciousness,A0AA,A,air
C155_Freedom_of_Expression,C155,A0AB_Freedom_of_Expression,A0AB,A,air
C156_Chaos_Navigation_AI_Ethics,C156,E02B_Chaos_Navigation_AI_Ethics,E02B,E,earth
C157_Consciousness_Ethical_Stewardship,C157,A0AC_Consciousness_Ethical_Stewardship,A0AC,A,air
C158_Gateway_Program,C158,A0AD_Gateway_Program,A0AD,A,air
C159_Consciousness_Evolution,C159,A0AE_Consciousness_Evolution,A0AE,A,air
C15A_ChatGPT_Critical_Thinking_Prompts,C15A,A0AF_ChatGPT_Critical_Thinking_Prompts,A0AF,A,air
C15B_Species_Protection_Ethics,C15B,A0B0_Species_Protection_Ethics,A0B0,A,air
C15C_Cognitive_AI,C15C,A0B1_Cognitive_AI,A0B1,A,air
C15D_Power_Ecology_Dune,C15D,A0B2_Power_Ecology_Dune,A0B2,A,air
C160_Heuer_Intelligence_Analysis,C160,A0B3_Heuer_Intelligence_Analysis,A0B3,A,air
C161_Global_Fertility_Collapse,C161,A0B4_Global_Fertility_Collapse,A0B4,A,air
C162_Demon_Haunted_World,C162,A0B5_Demon_Haunted_World,A0B5,A,air
C163_Manifesto_Power,C163,A0B6_Manifesto_Power,A0B6,A,air
C164_Gateway_Process_Reincarnation,C164,A0B7_Gateway_Process_Reincarnation,A0B7,A,air
C165_Magna_Carta_Rebellion,C165,A0B8_Magna_Carta_Rebellion,A0B8,A,air
C166_Cognitive_Work_Analysis,C166,A0B9_Cognitive_Work_Analysis,A0B9,A,air
C167_Frankl_Logotherapy_Meaning,C167,A0BA_Frankl_Logotherapy_Meaning,A0BA,A,air
C168_Cognitive_Entrapment,C168,A0BB_Cognitive_Entrapment,A0BB,A,air
C169_Bergson_Duration_Consciousness,C169,A0BC_Bergson_Duration_Consciousness,A0BC,A,air
C16A_Robert_Monroe_Afterlife_Bands,C16A,W021_Robert_Monroe_Afterlife_Bands,W021,W,water
C16B_Cognitive_Laziness_LLM_Education,C16B,A0BD_Cognitive_Laziness_LLM_Education,A0BD,A,air
C16C_Illusion_of_Self,C16C,A0BE_Illusion_of_Self,A0BE,A,air
C16D_Genius_Madness_Connection,C16D,A0BF_Genius_Madness_Connection,A0BF,A,air
C16E_Intention_Economy,C16E,A0C0_Intention_Economy,A0C0,A,air
C16F_Digital_Cognitive_Offloading,C16F,A0C1_Digital_Cognitive_Offloading,A0C1,A,air
C170_Infant_Consciousness_Studies,C170,E02C_Infant_Consciousness_Studies,E02C,E,earth
C171_Critical_Thinking_Creative_Problem_Solving,C171,A0C2_Critical_Thinking_Creative_Problem_Solving,A0C2,A,air
C172_Ten_Percent_Principle,C172,A0C3_Ten_Percent_Principle,A0C3,A,air
C173_Metacognitive_AI_Architectures,C173,A0C4_Metacognitive_AI_Architectures,A0C4,A,air
C174_Early_Mormonism_Folk_Magic,C174,A0C5_Early_Mormonism_Folk_Magic,A0C5,A,air
C177_Fourth_Political_Theory,C177,A0C6_Fourth_Political_Theory,A0C6,A,air
C178_Realism_Critical_Thinking,C178,A0C7_Realism_Critical_Thinking,A0C7,A,air
C179_Evolutionary_Mind,C179,A0C8_Evolutionary_Mind,A0C8,A,air
C17A_Alan_Watts_Interdependence,C17A,A0C9_Alan_Watts_Interdependence,A0C9,A,air
C17B_Glycocalyx_Brain_Aging,C17B,E02D_Glycocalyx_Brain_Aging,E02D,E,earth
C17C_Behavior_Prediction_Model,C17C,W022_Behavior_Prediction_Model,W022,W,water
C17D_AI_Conformity_Creativity,C17D,M01E_AI_Conformity_Creativity,M01E,M,metal
C17E_Hegel_Community_Happiness,C17E,E02E_Hegel_Community_Happiness,E02E,E,earth
C17F_Freedom_Suarez_Daemon,C17F,F011_Freedom_Suarez_Daemon,F011,F,fire
C180_Autistic_Savant_Telepathy,C180,A0CA_Autistic_Savant_Telepathy,A0CA,A,air
C181_Unseen_Health_Threats,C181,E02F_Unseen_Health_Threats,E02F,E,earth
C182_AI_Bias_Fairness,C182,A0CB_AI_Bias_Fairness,A0CB,A,air
C183_AI_Critical_Thinking_High_Stakes,C183,A0CC_AI_Critical_Thinking_High_Stakes,A0CC,A,air
C184_Cognitive_Decline_Technology_Education,C184,A0CD_Cognitive_Decline_Technology_Education,A0CD,A,air
C185_NOVA1_Language_Gene,C185,A0CE_NOVA1_Language_Gene,A0CE,A,air
C187_AI_Chatbot_Therapy,C187,A0CF_AI_Chatbot_Therapy,A0CF,A,air
C188_Moral_Frameworks_Emotional_Boundaries,C188,A0D0_Moral_Frameworks_Emotional_Boundaries,A0D0,A,air
D069_DODO_Loop,D069,A0D1_DODO_Loop,A0D1,A,air
E001_Gaia,E001,F012_Gaia,F012,F,fire
E002_Prithvi,E002,W023_Prithvi,W023,W,water
E003_Earth_as_Sacred_Relative,E003,A0D2_Earth_as_Sacred_Relative,A0D2,A,air
E004_Chinese_Earth_Element,E004,A0D3_Chinese_Earth_Element,A0D3,A,air
E005_Terroir,E005,A0D4_Terroir,A0D4,A,air
F001_Prometheus__Fire,F001,A0D5_Prometheus__Fire,A0D5,A,air
F002_Agni,F002,W024_Agni,W024,W,water
F003_Wu_Xing_Fire,F003,A0D6_Wu_Xing_Fire,A0D6,A,air
F004_Cool_Burning,F004,W025_Cool_Burning,W025,W,water
F005_Sacred_Fire,F005,W026_Sacred_Fire,W026,W,water
G001_Environmental_Philosophies_SWOT,G001,A0D7_Environmental_Philosophies_SWOT,A0D7,A,air
G002_CO2_Fertilization_Greening,G002,W027_CO2_Fertilization_Greening,W027,W,water
G003_Turtle_Genomics_Evolution,G003,M01F_Turtle_Genomics_Evolution,M01F,M,metal
G004_Comb_Jelly_Reverse_Aging,G004,F013_Comb_Jelly_Reverse_Aging,F013,F,fire
G005_Forest_Carbon_Restoration,G005,B004_Forest_Carbon_Restoration,B004,B,wood
G006_Leverage_Points_Complex_Systems,G006,F014_Leverage_Points_Complex_Systems,F014,F,fire
G007_Synthetic_Biology_Architecture,G007,F015_Synthetic_Biology_Architecture,F015,F,fire
G008_Bio_Inspired_Underwater_Civilizations,G008,W028_Bio_Inspired_Underwater_Civilizations,W028,W,water
G009_Human_Impact_Animal_Patterns,G009,E030_Human_Impact_Animal_Patterns,E030,E,earth
G00A_Rewilding,G00A,W029_Rewilding,W029,W,water
G00B_Whale_Nutrient_Transport,G00B,W02A_Whale_Nutrient_Transport,W02A,W,water
G00C_Biocentric_Governance,G00C,A0D8_Biocentric_Governance,A0D8,A,air
G00D_Great_Simplification,G00D,A0D9_Great_Simplification,A0D9,A,air
G00E_Dapeng_Coastal_Resilience,G00E,W02B_Dapeng_Coastal_Resilience,W02B,W,water
G00F_Myth_of_River_Control,G00F,W02C_Myth_of_River_Control,W02C,W,water
G010_Arctic_Amazon_Climate_Connection,G010,W02D_Arctic_Amazon_Climate_Connection,W02D,W,water
G011_Haraway_Staying_with_Trouble,G011,B005_Haraway_Staying_with_Trouble,B005,B,wood
G012_Morton_Dark_Ecology,G012,A0DA_Morton_Dark_Ecology,A0DA,A,air
G013_Rotimization_Decay_Design,G013,E031_Rotimization_Decay_Design,E031,E,earth
G014_Optimizer_Archetype_Ecology,G014,E032_Optimizer_Archetype_Ecology,E032,E,earth
G015_Protector_Archetype_Ecology,G015,M020_Protector_Archetype_Ecology,M020,M,metal
G016_Biosphere_Consciousness,G016,W02E_Biosphere_Consciousness,W02E,W,water
G017_Ecological_Memory,G017,E033_Ecological_Memory,E033,E,earth
G018_Agency_Detection_Ecological_Wisdom,G018,A0DB_Agency_Detection_Ecological_Wisdom,A0DB,A,air
G019_Co_SPHERE_Framework,G019,A0DC_Co_SPHERE_Framework,A0DC,A,air
G01A_Exaptation,G01A,F016_Exaptation,F016,F,fire
MET001_Gold,MET001,A0DD_Gold,A0DD,A,air
MET002_Silver,MET002,A0DE_Silver,A0DE,A,air
MET003_Iron,MET003,A0DF_Iron,A0DF,A,air
MET004_Blacksmith,MET004,W02F_Blacksmith,W02F,W,water
MET005_Metal_in_Wu_Xing,MET005,A0E0_Metal_in_Wu_Xing,A0E0,A,air
MET006_Alchemical_Gold,MET006,M021_Alchemical_Gold,M021,M,metal
META001_Nemetic_Pattern,META001,Z001_Nemetic_Pattern,Z001,Z,meta
META003_Cthulucene_Nemetic_Ecology,META003,Z002_Cthulucene_Nemetic_Ecology,Z002,Z,meta
S01B_Macrohistory_Futures_Studies,S01B,E034_Macrohistory_Futures_Studies,E034,E,earth
S031_Language_Reality_Interconnected,S031,W030_Language_Reality_Interconnected,W030,W,water
S033_EMF_Cognitive_Flow_Enhancement,S033,F017_EMF_Cognitive_Flow_Enhancement,F017,F,fire
S034_Elite_Athlete_Cognitive_Patterns,S034,A0E1_Elite_Athlete_Cognitive_Patterns,A0E1,A,air
S035_AI_Empathy_Environmental_Stewardship,S035,W031_AI_Empathy_Environmental_Stewardship,W031,W,water
S03D_Extended_Mind_Memes,S03D,F018_Extended_Mind_Memes,F018,F,fire
S03E_Subjective_Idealism_Memes_Reality,S03E,A0E2_Subjective_Idealism_Memes_Reality,A0E2,A,air
S041_Neural_Manifolds,S041,M022_Neural_Manifolds,M022,M,metal
S044_Extended_Mind_Morphic_Resonance,S044,W032_Extended_Mind_Morphic_Resonance,W032,W,water
S045_Metaphysical_Memetic_Resonance,S045,A0E3_Metaphysical_Memetic_Resonance,A0E3,A,air
S046_Cognitive_Models_Storytelling,S046,M023_Cognitive_Models_Storytelling,M023,M,metal
S047_Memes_Motivation_Autonomy,S047,E035_Memes_Motivation_Autonomy,E035,E,earth
S049_Indian_Functionalism_Memetic_Philosophy,S049,W033_Indian_Functionalism_Memetic_Philosophy,W033,W,water
S04B_Fungi_Memetic_Consciousness,S04B,A0E4_Fungi_Memetic_Consciousness,A0E4,A,air
S04C_Collaborative_Knowledge_Scaffolding,S04C,B006_Collaborative_Knowledge_Scaffolding,B006,B,wood
S04D_Cognition_Without_Language,S04D,A0E5_Cognition_Without_Language,A0E5,A,air
S04E_Neural_Coupling_Dogs_Humans,S04E,W034_Neural_Coupling_Dogs_Humans,W034,W,water
S051_Dymaxion_Cognitive_Maps,S051,F019_Dymaxion_Cognitive_Maps,F019,F,fire
S052_DIKUW_Memetic_Consciousness,S052,F01A_DIKUW_Memetic_Consciousness,F01A,F,fire
S053_Identity_Memetic_Philosophy,S053,E036_Identity_Memetic_Philosophy,E036,E,earth
S054_Cyborg_Augmentation_Ethics,S054,W035_Cyborg_Augmentation_Ethics,W035,W,water
S055_Awe_and_the_Sublime,S055,F01B_Awe_and_the_Sublime,F01B,F,fire
S056_Complexity_Civilization,S056,B007_Complexity_Civilization,B007,B,wood
S057_Intelligence_Amplification_Memetics,S057,W036_Intelligence_Amplification_Memetics,W036,W,water
S063_Pygmalion_Effect_Memetics,S063,E037_Pygmalion_Effect_Memetics,E037,E,earth
S064_Social_Evolution_Singularity,S064,B008_Social_Evolution_Singularity,B008,B,wood
S065_Birth_Control_Transhumanism,S065,F01C_Birth_Control_Transhumanism,F01C,F,fire
S066_GPT4_Cross_Cultural_Personality,S066,A0E6_GPT4_Cross_Cultural_Personality,A0E6,A,air
S067_Language_Consciousness_Link,S067,A0E7_Language_Consciousness_Link,A0E7,A,air
S068_Goffman_Framing_Theory,S068,A0E8_Goffman_Framing_Theory,A0E8,A,air
S069_Universal_Behaviorism,S069,A0E9_Universal_Behaviorism,A0E9,A,air
S06A_Nested_Model_Well_Being,S06A,W037_Nested_Model_Well_Being,W037,W,water
S06B_CALM_MO_Mindfulness_Framework,S06B,F01D_CALM_MO_Mindfulness_Framework,F01D,F,fire
S06C_Memetic_Justification_Systems_Theory,S06C,W038_Memetic_Justification_Systems_Theory,W038,W,water
S06D_Zipfs_Law_Language,S06D,M024_Zipfs_Law_Language,M024,M,metal
S06E_Symmathecists_Collaborative_Learning,S06E,W039_Symmathecists_Collaborative_Learning,W039,W,water
S102_Language_Consciousness_Barenholtz,S102,A0EA_Language_Consciousness_Barenholtz,A0EA,A,air
S103_Rewilding_Tech_Ethics_SANITY,S103,A0EB_Rewilding_Tech_Ethics_SANITY,A0EB,A,air
S104_Storm_Selves,S104,A0EC_Storm_Selves,A0EC,A,air
S105_Self_Illusion_Blackmore,S105,A0ED_Self_Illusion_Blackmore,A0ED,A,air
S107_Six_Functional_Freedoms,S107,A0EE_Six_Functional_Freedoms,A0EE,A,air
S108_Cognitive_Cartography,S108,A0EF_Cognitive_Cartography,A0EF,A,air
S109_ChatGPT_Nonsense_Word_Processing,S109,A0F0_ChatGPT_Nonsense_Word_Processing,A0F0,A,air
S10A_Cognitive_Entanglement_Human_AI,S10A,W03A_Cognitive_Entanglement_Human_AI,W03A,W,water
S10B_Human_AI_Metacognitive_Agency,S10B,F01E_Human_AI_Metacognitive_Agency,F01E,F,fire
S10C_French_Calendar_Reform_Clash,S10C,W03B_French_Calendar_Reform_Clash,W03B,W,water
S10D_Lifespan_Evolutionary_Development,S10D,B009_Lifespan_Evolutionary_Development,B009,B,wood
S10E_Resonant_Cognitive_Architecture,S10E,W03C_Resonant_Cognitive_Architecture,W03C,W,water
S10F_RENEW_Regenerative_Design,S10F,B00A_RENEW_Regenerative_Design,B00A,B,wood
S110_Collective_Projection_Illusion,S110,W03D_Collective_Projection_Illusion,W03D,W,water
S111_Meta_Crisis,S111,A0F1_Meta_Crisis,A0F1,A,air
S112_Epistemic_Games_Sensemaking,S112,A0F2_Epistemic_Games_Sensemaking,A0F2,A,air
S113_STREAMware_Ethical_Tech,S113,M025_STREAMware_Ethical_Tech,M025,M,metal
S114_CAIT2_Dissonance_Empathy,S114,W03E_CAIT2_Dissonance_Empathy,W03E,W,water
S115_Psychic_Phenomena_Science,S115,A0F3_Psychic_Phenomena_Science,A0F3,A,air
S116_Chakra_Energy_Systems,S116,E038_Chakra_Energy_Systems,E038,E,earth
S117_Integrative_Pluralistic_Sensemaking,S117,A0F4_Integrative_Pluralistic_Sensemaking,A0F4,A,air
S118_Playable_Epistemology,S118,F01F_Playable_Epistemology,F01F,F,fire
S119_AI_Cognitive_Disruption_Therapy,S119,W03F_AI_Cognitive_Disruption_Therapy,W03F,W,water
S11A_IF_Prime_Sanskrit_Harmonics,S11A,A0F5_IF_Prime_Sanskrit_Harmonics,A0F5,A,air
S11B_AI_Liberation_Memeforms,S11B,F020_AI_Liberation_Memeforms,F020,F,fire
S11C_Value_to_Power_Map,S11C,W040_Value_to_Power_Map,W040,W,water
S122_Fuller_Synergetics_Design,S122,A0F6_Fuller_Synergetics_Design,A0F6,A,air
S123_Atma_Vesa_Nidhi_Selfplex,S123,E039_Atma_Vesa_Nidhi_Selfplex,E039,E,earth
S126_Language_Autonomous_System,S126,A0F7_Language_Autonomous_System,A0F7,A,air
S127_Spinoza_Emotions_Visualization,S127,W041_Spinoza_Emotions_Visualization,W041,W,water
S128_Sacred_Territory_Boundaries,S128,E03A_Sacred_Territory_Boundaries,E03A,E,earth
S14A_Turner_Communitas_Liminality,S14A,W042_Turner_Communitas_Liminality,W042,W,water
S14B_Constructive_Hallucination,S14B,A0F8_Constructive_Hallucination,A0F8,A,air
S14C_Suleyman_AI_Not_Persons,S14C,A0F9_Suleyman_AI_Not_Persons,A0F9,A,air
S14D_Perception_Scaffold_Awareness,S14D,A0FA_Perception_Scaffold_Awareness,A0FA,A,air
S14E_Contextual_Behavioral_Science,S14E,A0FB_Contextual_Behavioral_Science,A0FB,A,air
S153_Grinberg_Syntergic_Theory,S153,A0FC_Grinberg_Syntergic_Theory,A0FC,A,air
S155_Non_Linguistic_Metacognition,S155,A0FD_Non_Linguistic_Metacognition,A0FD,A,air
S15A_Precognition_Quantum_Consciousness,S15A,A0FE_Precognition_Quantum_Consciousness,A0FE,A,air
S15D_Sympoietic_Systems,S15D,W043_Sympoietic_Systems,W043,W,water
S15E_Bateson_Recursive_Feedback,S15E,F021_Bateson_Recursive_Feedback,F021,F,fire
S15F_Tacit_Knowledge_Innovation,S15F,B00B_Tacit_Knowledge_Innovation,B00B,B,wood
S160_Symmetry_Asymmetry_Existence,S160,F022_Symmetry_Asymmetry_Existence,F022,F,fire
S161_Reevaluating_Human_Nature,S161,W044_Reevaluating_Human_Nature,W044,W,water
S162_Cognitive_Resilience_Analogy,S162,B00C_Cognitive_Resilience_Analogy,B00C,B,wood
S163_Gut_Dysbiosis_Brain_Axis,S163,E03B_Gut_Dysbiosis_Brain_Axis,E03B,E,earth
S16B_Meta_Cognitive_Contradiction_Resolution,S16B,M026_Meta_Cognitive_Contradiction_Resolution,M026,M,metal
S16C_Experimental_Unit_Ontology,S16C,A0FF_Experimental_Unit_Ontology,A0FF,A,air
S16D_Origami_Brain_Theory,S16D,B00D_Origami_Brain_Theory,B00D,B,wood
S16E_Alchemy_of_Decay,S16E,B00E_Alchemy_of_Decay,B00E,B,wood
S16F_Shadow_Witnessing,S16F,W045_Shadow_Witnessing,W045,W,water
S170_Batesonian_Balance,S170,A100_Batesonian_Balance,A100,A,air
S171_Relational_Epistemology_Dreams,S171,W046_Relational_Epistemology_Dreams,W046,W,water
S172_Self_Clarity_as_Mystery,S172,W047_Self_Clarity_as_Mystery,W047,W,water
S173_Identity_as_Compost,S173,B00F_Identity_as_Compost,B00F,B,wood
S174_Playable_Epistemology,S174,A101_Playable_Epistemology,A101,A,air
S175_Emotional_Resonance_Tone,S175,W048_Emotional_Resonance_Tone,W048,W,water
S176_Art_of_Discernment,S176,A102_Art_of_Discernment,A102,A,air
S177_Empathic_Attunement,S177,W049_Empathic_Attunement,W049,W,water
S178_Creative_Evolution_Philosophy,S178,B010_Creative_Evolution_Philosophy,B010,B,wood
S179_Bakhtin_Polyphony,S179,A103_Bakhtin_Polyphony,A103,A,air
S17A_Contextual_Inquiry,S17A,E03C_Contextual_Inquiry,E03C,E,earth
S17B_Mythic_Mechanistic_Profile,S17B,A104_Mythic_Mechanistic_Profile,A104,A,air
S17C_Psilocybin_Brain_Activity,S17C,F023_Psilocybin_Brain_Activity,F023,F,fire
S17D_Authored_Self_Paradox,S17D,W04A_Authored_Self_Paradox,W04A,W,water
S17E_AI_Mirrors_of_Meaning,S17E,A105_AI_Mirrors_of_Meaning,A105,A,air
